baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105376204	0.419762202980839	-3.70008446295887	4.06815972397435	-0.909522908147792	0.36307417123279	NA
LOC107987013	0.315443944513833	-0.254086053316853	4.62713909943543	-0.0549121277438698	0.956208469915803	NA
LOC107987035	0	NA	NA	NA	NA	NA
LOC107987125	0	NA	NA	NA	NA	NA
C9orf106	0.0728676540638389	-0.613592698150654	6.11173761325956	-0.100395785450516	0.920030115586498	NA
LOC100996574	0	NA	NA	NA	NA	NA
LOC101928193	0	NA	NA	NA	NA	NA
C9orf62	0	NA	NA	NA	NA	NA
LOC107987142	0.90918441641838	0.32770267360419	2.45799884975232	0.133320922276758	0.893939581718348	NA
LOC101928722	0.0292915764649744	0.155478054416205	6.12008756516373	0.0254045473632117	0.979732284008493	NA
C9orf163	0.633125086594994	-1.5878235853393	2.96654891201733	-0.535242678422428	0.592482058017947	NA
PRR31	0	NA	NA	NA	NA	NA
C9orf139	0.370678053142167	-0.782017325140497	5.11991644462046	-0.1527402514473	0.878603117109065	NA
LOC101930307	41.8388160252222	-0.630957250016136	1.47069042354854	-0.429021118185932	0.667907856217022	NA
FAM157B	0	NA	NA	NA	NA	NA
LOC107987372	0	NA	NA	NA	NA	NA
LOC102724813	0	NA	NA	NA	NA	NA
LOC105376339	0.173278813265114	-2.26264820887744	6.07857958226708	-0.372233048569146	0.709719341962985	NA
LOC105376341	0.0635288282267416	0.558082892107386	6.11291282634868	0.0912957387028102	0.927257603872629	NA
LOC107983989	0	NA	NA	NA	NA	NA
LOC101927824	0.628412634671741	-0.398621097048651	2.59446764175316	-0.153642732186589	0.877891441540027	NA
LOC105376353	0.342169521590412	-1.59436801290854	4.57392150024807	-0.34857791346486	0.72740621142351	NA
LOC107984203	0	NA	NA	NA	NA	NA
LOC107984208	0	NA	NA	NA	NA	NA
DCLRE1CP1	0.88626649226004	-3.11226300862831	2.47190635224748	-1.25905376868287	0.208010911444164	NA
C10orf111	2.35877873201501	0.825375053017275	1.77348358784013	0.465397626838191	0.641646733346717	NA
LOC100505502	0	NA	NA	NA	NA	NA
LOC105376488	1.89057244088732	-0.133769956945162	1.87047941513213	-0.071516401550836	0.942986771431204	NA
LOC107984189	0	NA	NA	NA	NA	NA
C10orf25	6.58397533731374	0.550977128325843	0.95396747044911	0.577563853478624	0.563558616849037	NA
FAM25E	0.181407638301427	-1.83768578561602	6.08938204358574	-0.301785266955248	0.762815762817187	NA
LOC105378577	0.106878689066768	-1.26589973991487	6.11393849202719	-0.207051435268061	0.835969689203291	NA
LOC107984026	1.86510923923514	-1.07565448318765	2.15353224807012	-0.499483805803972	0.6174385925015	NA
LOC107984236	1.36489534904425	1.07467706302675	1.96662991742595	0.546456175360817	0.584752404597551	NA
AGAP11	5.26660832678359	-0.0683197231373706	1.64766545633707	-0.041464559977638	0.966925545583388	NA
C10orf131	2.21191209450793	0.338828444756827	1.60652417913599	0.210907777895415	0.832959234759902	NA
LOC644215	5.85292994761503	0.990438230323789	0.91184021292194	1.0861971388057	0.277391782884576	NA
LOC107984264	0.585711171861187	-0.10800505377407	2.67136698935387	-0.0404306312852184	0.967749809973261	NA
LOC107984265	0.439082321330787	-0.0822957054905323	3.62138846303151	-0.0227249040887598	0.981869710373135	NA
LOC105378479	0	NA	NA	NA	NA	NA
LOC729800	0	NA	NA	NA	NA	NA
LOC107984159	0.688568839736716	-0.660728594260238	2.75587568403165	-0.239752684814011	0.810521989243129	NA
C10orf91	0	NA	NA	NA	NA	NA
LOC107984282	0.443368759635215	-0.840805167423142	3.24598624778392	-0.259029183502294	0.795612723552356	NA
LOC101059906	3.26429075138997	-0.995343840440728	1.70245796732899	-0.584651051328062	0.55878237333276	NA
LOC101927503	0.652197756717772	-2.94243817817494	4.2732012832654	-0.68857935377349	0.491088017357163	NA
MUC2	0.264187495209993	-1.28126165693673	6.12047839865827	-0.209340115834344	0.834182737556187	NA
LOC101927562	14.4750071940341	-0.355843058043279	1.51658566532285	-0.234634327740086	0.814492563530676	NA
HOTS	0	NA	NA	NA	NA	NA
LOC107987158	0.375241164502671	-1.77773885737682	3.76271619703617	-0.472461584739535	0.636597355477471	NA
LOC105376525	0	NA	NA	NA	NA	NA
LOC105376526	0	NA	NA	NA	NA	NA
LOC107984314	7.10123146227151	0.471449805134098	1.05889341903243	0.445228761139046	0.656154443936898	NA
LOC102724957	0.0971517320950768	1.13794885611065	6.10592638305128	0.186367929241557	0.852156240566495	NA
DCDC5	2.98862664057719	-1.56749577339045	1.55610943437024	-1.00731718397737	0.313782374529033	NA
LOC107984351	0	NA	NA	NA	NA	NA
LOC101060179	11.8474377868628	0.0179644611224207	1.52132491997405	0.0118084315102964	0.990578453766395	NA
LOC105376666	0	NA	NA	NA	NA	NA
LOC107987155	0	NA	NA	NA	NA	NA
LOC101927789	39.2820580055393	0.322280106511735	0.400308012796838	0.805080328670055	0.420773326583482	NA
LOC107984341	0.132661771733896	0.161359070112711	6.12047839865827	0.0263638002787632	0.978967167299976	NA
LOC102724265	0	NA	NA	NA	NA	NA
LOC107984355	0.0728676540638389	-0.613592698150654	6.11173761325956	-0.100395785450516	0.920030115586498	NA
LOC100287896	45.154452518087	-0.191609681428707	0.477579181804708	-0.401210288741313	0.688265306329611	NA
LOC107987163	1.67966676228546	-1.11515122002982	1.9333139264859	-0.576808145202153	0.564069066607584	NA
FOLH1B	0.0340977202349398	0.161325291344976	6.12047839865827	0.0263582813036872	0.978971569275239	NA
LOC105369176	0	NA	NA	NA	NA	NA
LOC105378955	0	NA	NA	NA	NA	NA
COLCA1	0	NA	NA	NA	NA	NA
