baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC107986791	4.77936695519076	0.176368942273646	0.290645967539263	0.600371904525108	0.54825840768199	0.782316508809906
C7orf65	0	NA	NA	NA	NA	NA
C7orf69	18.7470163322882	-1.35533007943968	0.30304020320622	-4.43516345555233	9.20024552771545e-06	0.000174804665026593
LOC107986794	0	NA	NA	NA	NA	NA
LOC107986797	0	NA	NA	NA	NA	NA
LOC101060341	0	NA	NA	NA	NA	NA
LOC107986800	0	NA	NA	NA	NA	NA
LOC100287294	0	NA	NA	NA	NA	NA
LOC100996414	0	NA	NA	NA	NA	NA
LOC100996365	0	NA	NA	NA	NA	NA
LOC107986804	0	NA	NA	NA	NA	NA
LOC107986803	0	NA	NA	NA	NA	NA
LOC107986805	0	NA	NA	NA	NA	NA
LOC441239	0.887292038217457	-0.0856224712521074	0.166366945095295	-0.515638541388513	0.606106886540074	NA
ERV3-1-ZNF117	10.0670827992609	0.0655843364129483	0.308515713845404	0.0852591430270253	0.93205537235718	0.975937315213501
LOC107986705	0	NA	NA	NA	NA	NA
LOC101929322	0.250463658487412	0.0458814401312054	0.104974351944537	0.31160138637426	0.755343480489755	NA
SPDYE11	0	NA	NA	NA	NA	NA
LOC107986810	0	NA	NA	NA	NA	NA
LOC107986711	0	NA	NA	NA	NA	NA
SPDYE17	0	NA	NA	NA	NA	NA
SPDYE18	0	NA	NA	NA	NA	NA
LOC102723899	3.21255181192509	-0.022452941361441	0.252057034684956	-0.405836574115787	0.68486268344083	0.866022820922589
LOC105375396	0	NA	NA	NA	NA	NA
C7orf76	0	NA	NA	NA	NA	NA
LOC107986827	0.17740638653217	-0.012980002579644	0.104766712299002	-0.131288041392096	0.895547451494073	NA
ZASP	0	NA	NA	NA	NA	NA
LOC100289561	2.26730631172506	0.0840032984526662	0.233442328263087	0.24663584613913	0.805190060138668	0.924375530112189
LOC107983993	1.43632834263513	-0.0538502539104806	0.202633550345252	-0.353196337106357	0.723941253724735	NA
LOC102724229	0	NA	NA	NA	NA	NA
C7orf66	0	NA	NA	NA	NA	NA
LOC100130880	0	NA	NA	NA	NA	NA
LOC100507507	50.3527667091229	0.179090407269932	0.252280835783097	0.751631968667264	0.452272412756056	0.713444537239006
LOC101928422	0	NA	NA	NA	NA	NA
LOC107986860	0	NA	NA	NA	NA	NA
LOC107984014	0	NA	NA	NA	NA	NA
LOC389602	0	NA	NA	NA	NA	NA
LOC105379752	0	NA	NA	NA	NA	NA
LOC101927506	0	NA	NA	NA	NA	NA
LOC105377774	0	NA	NA	NA	NA	NA
LOC105377777	0	NA	NA	NA	NA	NA
LOC105377792	0	NA	NA	NA	NA	NA
LOC107986908	0	NA	NA	NA	NA	NA
LOC101928095	0	NA	NA	NA	NA	NA
LOC107986910	0	NA	NA	NA	NA	NA
LOC101929400	0	NA	NA	NA	NA	NA
LOC107986876	0.0941759112307822	-0.0343528908765083	0.104765301205029	-0.308622349181172	0.757608818062605	NA
LOC107984124	0	NA	NA	NA	NA	NA
LOC105379356	0.288661454976906	0.0298024917988186	0.104765301205029	0.0883982409451932	0.929560159346873	NA
POTEA	0	NA	NA	NA	NA	NA
LOC105375816	0	NA	NA	NA	NA	NA
LOC105375817	0	NA	NA	NA	NA	NA
LOC107986877	0	NA	NA	NA	NA	NA
LOC100129098	0.0941759112307822	-0.0343528908765083	0.104765301205029	-0.308622349181172	0.757608818062605	NA
LOC107984125	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC105375938	0	NA	NA	NA	NA	NA
LOC105375907	0.157025323518518	-0.0343528908765083	0.104765301205029	-0.314825943631666	0.752893812470715	NA
LOC101929601	0	NA	NA	NA	NA	NA
LOC101929627	0	NA	NA	NA	NA	NA
LOC100288562	0	NA	NA	NA	NA	NA
LOC107986879	0	NA	NA	NA	NA	NA
C8orf87	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC101927245	0.200128932829247	-0.012967763318066	0.104765301205029	-0.135209915126929	0.892445907947155	NA
LOC107986873	0	NA	NA	NA	NA	NA
LOC100132813	0	NA	NA	NA	NA	NA
LOC107986982	0	NA	NA	NA	NA	NA
LOC105375787	0	NA	NA	NA	NA	NA
LOC107984097	0	NA	NA	NA	NA	NA
LOC642574	0	NA	NA	NA	NA	NA
SMPD5	0	NA	NA	NA	NA	NA
LOC107986987	0	NA	NA	NA	NA	NA
LOC107983994	0	NA	NA	NA	NA	NA
LOC107987042	0.272189437927948	0.0458814399949957	0.104974351943031	0.306341774940385	0.759344435311426	NA
LOC107987044	0	NA	NA	NA	NA	NA
LOC107987017	0	NA	NA	NA	NA	NA
LOC105375975	0	NA	NA	NA	NA	NA
LOC107987048	0	NA	NA	NA	NA	NA
LOC100506422	0	NA	NA	NA	NA	NA
AQP7P5	0	NA	NA	NA	NA	NA
LOC101929959	0.298765183189768	0.00941975543904187	0.105108908460189	-0.118487125811236	0.905681695351648	NA
LOC102724904	0	NA	NA	NA	NA	NA
LOC107984126	0	NA	NA	NA	NA	NA
LOC101930090	0	NA	NA	NA	NA	NA
LOC107987001	0.174549954423967	0.0296728645662824	0.104780317861831	0.240121054495362	0.810236412500399	NA
LOC100132874	0	NA	NA	NA	NA	NA
LOC107987020	1.43991149602012	0.0903334227625539	0.18648507262504	0.69600953350809	0.486422859371017	NA
LOC107987004	0	NA	NA	NA	NA	NA
LOC100996643	0.101492682468725	-0.0343528908765083	0.104765301205029	-0.303727986090861	0.761335134812768	NA
LOC107987067	0	NA	NA	NA	NA	NA
LOC105379443	0	NA	NA	NA	NA	NA
LOC107987070	0	NA	NA	NA	NA	NA
LOC644249	0	NA	NA	NA	NA	NA
LOC105376335	0.101492682468725	-0.0343528908765083	0.104765301205029	-0.303727986090861	0.761335134812768	NA
C9orf170	1.05688857681567	0.205308369164013	0.178487092801682	1.22315747001548	0.22127022564545	NA
SPATA31C1	0	NA	NA	NA	NA	NA
LOC105369216	0	NA	NA	NA	NA	NA
SPATA31C2	0	NA	NA	NA	NA	NA
LOC107987092	0	NA	NA	NA	NA	NA
LOC102724237	0	NA	NA	NA	NA	NA
LOC107987096	0	NA	NA	NA	NA	NA
LOC107987098	0	NA	NA	NA	NA	NA
LOC107987099	0	NA	NA	NA	NA	NA
LOC728026	0	NA	NA	NA	NA	NA
LOC107987034	0	NA	NA	NA	NA	NA
LOC105376204	0	NA	NA	NA	NA	NA
LOC107987013	0.202985364937449	-0.0557380184349506	0.104765301205029	-0.388670278707522	0.69752007118772	NA
LOC107987035	0	NA	NA	NA	NA	NA
LOC107987125	0	NA	NA	NA	NA	NA
C9orf106	0	NA	NA	NA	NA	NA
LOC100996574	0	NA	NA	NA	NA	NA
LOC101928193	0	NA	NA	NA	NA	NA
C9orf62	0	NA	NA	NA	NA	NA
LOC107987142	0.221854712269783	-0.012967763318066	0.104765301205029	-0.10784687212361	0.914117161112405	NA
LOC101928722	0	NA	NA	NA	NA	NA
C9orf163	0	NA	NA	NA	NA	NA
PRR31	0	NA	NA	NA	NA	NA
C9orf139	0.291451233749962	-0.0343528908765083	0.104765301205029	-0.277284122638098	0.781561950069101	NA
LOC101930307	0	NA	NA	NA	NA	NA
FAM157B	0	NA	NA	NA	NA	NA
LOC107987372	0	NA	NA	NA	NA	NA
LOC102724813	0	NA	NA	NA	NA	NA
LOC105376339	0	NA	NA	NA	NA	NA
LOC105376341	0	NA	NA	NA	NA	NA
LOC107983989	0	NA	NA	NA	NA	NA
LOC101927824	0	NA	NA	NA	NA	NA
LOC105376353	0.157025323518518	-0.0343528908765083	0.104765301205029	-0.314825943631666	0.752893812470715	NA
LOC107984203	0	NA	NA	NA	NA	NA
LOC107984208	0	NA	NA	NA	NA	NA
DCLRE1CP1	0.446869828448808	-0.101432032958773	0.115170513671123	-0.806941309959499	0.41970029725123	NA
C10orf111	0.264692757289511	0.0298024917988186	0.104765301205029	0.255885216916981	0.79803946988954	NA
LOC100505502	0	NA	NA	NA	NA	NA
LOC105376488	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC107984189	0	NA	NA	NA	NA	NA
C10orf25	4.30155312600692	0.207275296762027	0.265819270289809	0.761696838227611	0.446240962837644	0.708301599096712
FAM25E	0	NA	NA	NA	NA	NA
LOC105378577	0	NA	NA	NA	NA	NA
LOC107984026	0	NA	NA	NA	NA	NA
LOC107984236	0.196275733864503	0.0296728645662824	0.104780317861831	0.233921012176007	0.815046300352418	NA
AGAP11	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
C10orf131	0.604692078477471	0.0305000104827806	0.137928641437292	-0.0512656602663523	0.959113831244249	NA
LOC644215	4.58409073664392	0.253924096135138	0.280022002380586	1.19399752183883	0.23247893744056	0.507786921404723
LOC107984264	0	NA	NA	NA	NA	NA
LOC107984265	0	NA	NA	NA	NA	NA
LOC105378479	0	NA	NA	NA	NA	NA
LOC729800	0	NA	NA	NA	NA	NA
LOC107984159	0	NA	NA	NA	NA	NA
C10orf91	0	NA	NA	NA	NA	NA
LOC107984282	0	NA	NA	NA	NA	NA
LOC101059906	0	NA	NA	NA	NA	NA
LOC101927503	0	NA	NA	NA	NA	NA
MUC2	0.291451233749962	-0.0343528908765083	0.104765301205029	-0.277284122638098	0.781561950069101	NA
LOC101927562	0	NA	NA	NA	NA	NA
HOTS	0	NA	NA	NA	NA	NA
LOC107987158	0	NA	NA	NA	NA	NA
LOC105376525	0	NA	NA	NA	NA	NA
LOC105376526	0	NA	NA	NA	NA	NA
LOC107984314	2.23713099167507	0.130204175188982	0.219943943497121	0.729348363333775	0.465788595380208	0.724098854500907
LOC102724957	0	NA	NA	NA	NA	NA
DCDC5	0.882148836046551	0.0565079593431733	0.157391415093465	0.534867630587821	0.592741392900871	NA
LOC107984351	0	NA	NA	NA	NA	NA
LOC101060179	0	NA	NA	NA	NA	NA
LOC105376666	0	NA	NA	NA	NA	NA
LOC107987155	0	NA	NA	NA	NA	NA
LOC101927789	11.8366645270549	-0.0167719086319945	0.307497111561777	-0.014926652306884	0.988090696823455	0.996599988611788
LOC107984341	0.144330727488453	0.00841736424037629	0.104765301205029	0.0663560827924785	0.947094333955555	NA
LOC102724265	0	NA	NA	NA	NA	NA
LOC107984355	0	NA	NA	NA	NA	NA
LOC100287896	10.7680331628027	0.239809815198002	0.308435063945253	0.861471389595134	0.38897847210805	0.664293843820859
LOC107987163	0	NA	NA	NA	NA	NA
FOLH1B	0	NA	NA	NA	NA	NA
LOC105369176	0	NA	NA	NA	NA	NA
LOC105378955	0	NA	NA	NA	NA	NA
COLCA1	0	NA	NA	NA	NA	NA
LOC107984399	0	NA	NA	NA	NA	NA
LOC105369535	0	NA	NA	NA	NA	NA
OR8G2	0	NA	NA	NA	NA	NA
LOC403312	0.811074362352972	-0.026650539785004	0.150601940516061	-0.281686012327183	0.778184280905299	NA
LOC338667	0	NA	NA	NA	NA	NA
LOC105369591	0.157025323518518	-0.0343528908765083	0.104765301205029	-0.314825943631666	0.752893812470715	NA
C11orf44	0	NA	NA	NA	NA	NA
LOC107984507	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC728715	0	NA	NA	NA	NA	NA
LOC105376678	0	NA	NA	NA	NA	NA
LOC105369728	0	NA	NA	NA	NA	NA
